"","province","region","site_name","site_id","date","waypoint_number","latitude","longitude","larva","nymphs","male","females","litter_depth","soil_humidity","canopy_cover","othere_species"
"47","ON","Kingston","Perth Road","KG5","19.06.2024",56,44.4706001281738,-76.4957962036133,NA,4,NA,NA,0,20,80,NA
"48","ON","Kingston","Perth Road","KG5","19.06.2024",64,44.469898223877,-76.4983978271484,NA,NA,NA,NA,1,20,100,NA
"49","ON","Kingston","Perth Road","KG5","19.06.2024",72,44.4692993164062,-76.5017013549805,NA,1,NA,NA,0,20,44,NA
"50","ON","Kingston","Perth Road","KG5","19.06.2024",80,44.4684982299805,-76.5037994384766,NA,1,NA,NA,0,30,100,NA
"51","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",8,44.2164001464844,-76.6946029663086,NA,1,NA,NA,2,9,100,NA
"52","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",16,44.2168998718262,-76.6970977783203,NA,NA,NA,NA,4,100,100,NA
"53","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",24,44.2187004089355,-76.6968002319336,NA,NA,NA,NA,2,40,100,NA
"54","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",32,44.2202987670898,-76.6955032348633,NA,NA,NA,NA,3,80,100,NA
"55","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",40,44.2220001220703,-76.6956024169922,NA,NA,NA,NA,3,20,62.6,NA
"56","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",48,44.2164993286133,-76.6947021484375,NA,NA,NA,NA,5,90,93.1,NA
"57","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",56,44.2169990539551,-76.6970977783203,NA,NA,NA,NA,1,50,51.2,NA
"58","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",64,44.2187995910645,-76.6967010498047,NA,NA,NA,NA,5,80,0,NA
"59","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",72,44.2205009460449,-76.6952972412109,1,2,NA,NA,1,70,45.9,NA
"60","ON","Kingston","Parrot’s Bay","KG8","19.06.2024",80,44.2221984863281,-76.6959991455078,NA,2,NA,NA,5,60,0,NA
"61","ON","Kingston","Amherst Island","KG9","20.06.2024",8,44.1370010375977,-76.7976989746094,NA,1,NA,NA,0,70,52,NA
"62","ON","Kingston","Amherst Island","KG9","20.06.2024",16,44.1355018615723,-76.7962036132812,NA,3,NA,NA,0,50,64,NA
"63","ON","Kingston","Amherst Island","KG9","20.06.2024",24,44.1338005065918,-76.7947006225586,NA,1,NA,NA,0,60,71,NA
"64","ON","Kingston","Amherst Island","KG9","20.06.2024",32,44.1320991516113,-76.7931976318359,NA,2,NA,NA,3,50,100,NA
"65","ON","Kingston","Amherst Island","KG9","20.06.2024",40,44.1301002502441,-76.7939987182617,NA,5,NA,NA,4,70,100,NA
"66","ON","Kingston","Amherst Island","KG9","20.06.2024",48,44.1367988586426,-76.7975006103516,NA,NA,NA,NA,0,90,40,NA
"67","ON","Kingston","Amherst Island","KG9","20.06.2024",56,44.1351013183594,-76.7957992553711,NA,NA,NA,NA,0,30,100,NA
"68","ON","Kingston","Amherst Island","KG9","20.06.2024",64,44.13330078125,-76.7941970825195,NA,1,NA,NA,0,40,100,NA
"69","ON","Kingston","Amherst Island","KG9","20.06.2024",72,44.1313018798828,-76.7929992675781,NA,NA,NA,NA,0,40,0,NA
"70","ON","Kingston","Amherst Island","KG9","20.06.2024",80,44.1292991638184,-76.7925033569336,NA,NA,NA,NA,1,20,100,NA
"71","ON","Kingston","Wolfe Island","KG10","20.06.2024",8,44.1231002807617,-76.4495010375977,NA,NA,NA,NA,2,50,0,NA
"72","ON","Kingston","Wolfe Island","KG10","20.06.2024",16,44.1217994689941,-76.4481964111328,NA,NA,NA,NA,1,10,100,NA
"73","ON","Kingston","Wolfe Island","KG10","20.06.2024",24,44.1206016540527,-76.4470977783203,NA,NA,NA,NA,2,100,100,NA
"74","ON","Kingston","Wolfe Island","KG10","20.06.2024",32,44.1192016601562,-76.4477005004883,NA,NA,NA,NA,1,90,33.4,NA
"75","ON","Kingston","Wolfe Island","KG10","20.06.2024",40,44.1184005737305,-76.4495010375977,NA,NA,NA,NA,2,100,0,NA
"76","ON","Kingston","Wolfe Island","KG10","20.06.2024",48,44.1228981018066,-76.4494018554688,NA,NA,NA,NA,1,10,0.2,NA
"77","ON","Kingston","Wolfe Island","KG10","20.06.2024",56,44.1213989257812,-76.4478988647461,NA,NA,NA,NA,5,10,47,NA
"78","ON","Kingston","Wolfe Island","KG10","20.06.2024",64,44.1195983886719,-76.4475021362305,NA,NA,NA,NA,5,80,95.9,NA
"79","ON","Kingston","Wolfe Island","KG10","20.06.2024",72,44.1180000305176,-76.4497985839844,NA,NA,NA,NA,5,40,0,NA
"80","ON","Kingston","Wolfe Island","KG10","20.06.2024",80,44.1162986755371,-76.4503021240234,NA,NA,NA,NA,1,60,66.7,NA
"81","ON","Kingston","Arrowhead Beach Park","KG10","19.06.2024",8,44.2333984375,-76.4520034790039,NA,4,1,NA,0,45,100,NA
"82","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",16,44.2322998046875,-76.4535980224609,NA,7,1,NA,0,20,56,NA
"83","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",24,44.2313995361328,-76.4550018310547,NA,2,NA,NA,2,30,63,NA
"84","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",32,44.2318000793457,-76.4543991088867,NA,1,NA,NA,0,10,0,NA
"85","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",40,44.2327003479004,-76.4527969360352,NA,3,NA,NA,0,10,0,NA
"86","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",48,44.2336006164551,-76.4524002075195,NA,1,NA,NA,1,40,100,NA
"87","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",56,44.2324981689453,-76.4533004760742,NA,NA,NA,NA,0,60,100,NA
"88","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",64,44.2313003540039,-76.4552001953125,NA,NA,NA,NA,0,60,0,NA
"89","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",72,44.2304000854492,-76.4572982788086,NA,NA,NA,NA,0,40,0,NA
"90","ON","Kingston","Arrowhead Beach Park","KG11","19.06.2024",80,44.2295989990234,-76.4580993652344,NA,NA,NA,NA,0,40,0,NA
"91","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",8,44.223201751709,-76.5380020141602,NA,1,NA,NA,1,100,62.6,NA
"92","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",16,44.2244987487793,-76.5385971069336,NA,NA,NA,NA,1,100,100,NA
"93","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",24,44.2261009216309,-76.5380020141602,NA,NA,NA,NA,1,90,100,NA
"94","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",32,44.2279014587402,-76.5376968383789,NA,NA,NA,NA,3,100,100,NA
"95","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",40,44.2299995422363,-76.5378036499023,NA,NA,NA,NA,2,100,0,NA
"96","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",48,44.2235984802246,-76.5376968383789,NA,NA,NA,NA,5,30,80.2,NA
"97","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",56,44.225700378418,-76.5380020141602,NA,NA,NA,NA,1,70,51.1,NA
"98","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",64,44.2276992797852,-76.5376968383789,NA,NA,NA,NA,5,70,93.8,NA
"99","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",72,44.2289009094238,-76.5382995605469,NA,NA,NA,NA,5,20,0,NA
"100","ON","Kingston","Marshlands Conservation Area","KG14","19.06.2024",80,44.2282981872559,-76.5376968383789,NA,NA,NA,NA,2,100,56.3,NA
"101","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",8,45.3809013366699,-75.8121032714844,NA,NA,NA,NA,1,30,100,NA
"102","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",16,45.3818016052246,-75.8137969970703,NA,NA,NA,NA,1,40,100,NA
"103","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",24,45.3827018737793,-75.8154983520508,NA,NA,NA,NA,0,20,91.7,NA
"104","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",32,45.3838996887207,-75.8165969848633,NA,NA,NA,NA,2,60,32,NA
"105","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",40,45.3842010498047,-75.818603515625,NA,NA,NA,NA,0,60,66.7,NA
"106","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",48,45.3838996887207,-75.8167037963867,NA,NA,NA,NA,1,30,100,NA
"107","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",56,45.3827018737793,-75.8154983520508,NA,NA,NA,NA,1,30,100,NA
"108","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",64,45.3818016052246,-75.8137969970703,NA,NA,NA,NA,1,30,83.4,NA
"109","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",72,45.3809013366699,-75.8121032714844,NA,NA,NA,NA,2,70,95.8,NA
"110","ON-QC","Ottawa-Gatineau","Guillot Park","OG1","17.06.2024",80,45.380298614502,-75.8099975585938,NA,NA,NA,NA,0,70,100,NA
"111","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",8,45.4258003234863,-75.7540969848633,NA,NA,NA,NA,0,80,0,NA
"112","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",16,45.4268989562988,-75.7530975341797,NA,NA,NA,NA,4,40,100,NA
"113","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",24,45.4275016784668,-75.7510986328125,NA,NA,NA,NA,3,40,100,NA
"114","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",32,45.4268989562988,-75.7530975341797,NA,NA,NA,NA,3,40,100,NA
"115","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",40,45.4276008605957,-75.753303527832,NA,NA,NA,NA,2,70,100,NA
"116","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",48,45.4289016723633,-75.7525024414062,NA,NA,NA,NA,0,80,0,NA
"117","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",56,45.4273986816406,-75.753303527832,NA,NA,NA,NA,4,40,100,NA
"118","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",64,45.4268989562988,-75.7537994384766,NA,NA,NA,NA,4,20,100,NA
"119","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",72,45.4254989624023,-75.7539978027344,NA,NA,NA,NA,3,20,100,NA
"120","ON-QC","Ottawa-Gatineau","Saint Dominique Park","OG2","17.06.2024",80,45.4244003295898,-75.7539978027344,NA,NA,NA,NA,4,40,100,NA
"121","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",8,45.5069007873535,-75.8159027099609,NA,1,NA,NA,2,20,91.7,NA
"122","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",16,45.5080986022949,-75.8162994384766,NA,NA,NA,NA,0,20,95.8,NA
"123","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",24,45.5094985961914,-75.8175964355469,NA,2,NA,NA,2,100,0,NA
"124","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",32,45.5102005004883,-75.815803527832,NA,3,NA,1,0,100,70.8,NA
"125","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",40,45.5102996826172,-75.8135986328125,NA,3,NA,NA,5,90,0,NA
"126","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",48,45.5070991516113,-75.8159027099609,NA,2,NA,NA,0,35,87.5,NA
"127","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",56,45.5082015991211,-75.8165969848633,NA,NA,NA,NA,2,10,0,NA
"128","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",64,45.5097999572754,-75.8175964355469,NA,1,NA,NA,2,15,0,NA
"129","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",72,45.5102996826172,-75.8153991699219,NA,2,NA,NA,1,15,95.8,NA
"130","ON-QC","Ottawa-Gatineau","Gatineau Park secteur Chelsea","OG3","20.06.2024",80,45.5099983215332,-75.8135986328125,NA,NA,NA,NA,1,10,95.8,NA
"131","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",8,45.3675003051758,-75.7972030639648,NA,NA,NA,NA,0,10,100,NA
"132","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",16,45.3680992126465,-75.7956008911133,NA,NA,NA,NA,0,10,96.88,NA
"133","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",24,45.3684997558594,-75.7938003540039,NA,NA,NA,NA,0,10,30.22,NA
"134","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",32,45.3695983886719,-75.7918014526367,NA,NA,NA,NA,2,30,100,NA
"135","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",40,45.3704986572266,-75.7931976318359,NA,NA,NA,NA,0,80,84.4,NA
"136","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",48,45.3675003051758,-75.7972030639648,NA,NA,NA,NA,5,10,100,NA
"137","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",56,45.3680992126465,-75.7956008911133,NA,NA,NA,NA,2,10,100,NA
"138","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",64,45.3684997558594,-75.7936019897461,NA,NA,NA,NA,0,10,92.72,NA
"139","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",72,45.3695983886719,-75.7917022705078,NA,NA,NA,NA,0,5,87.52,NA
"140","ON-QC","Ottawa-Gatineau","Britannia Conservation Area","OG4","11.06.2024",80,45.3704986572266,-75.7931976318359,NA,NA,NA,NA,0,80,87.5,NA
"141","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",8,45.3440017700195,-75.9461975097656,NA,1,NA,NA,5,30,0,NA
"142","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",16,45.3432006835938,-75.9440994262695,NA,NA,NA,NA,2,20,0,NA
"143","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",24,45.3418998718262,-75.9438018798828,NA,NA,NA,1,5,20,0,NA
"144","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",32,45.3401985168457,-75.9427032470703,NA,2,NA,NA,2,20,87.52,NA
"145","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",40,45.3386993408203,-75.9425964355469,NA,1,NA,NA,1,10,95.84,NA
"146","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",48,45.344898223877,-75.9471969604492,NA,1,NA,1,5,65,0,NA
"147","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",56,45.3440017700195,-75.9456024169922,NA,1,NA,NA,3,15,95.84,NA
"148","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",64,45.3434982299805,-75.9450988769531,NA,2,NA,NA,2,10,97.82,NA
"149","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",72,45.3428993225098,-75.9431991577148,NA,NA,NA,NA,2,50,97.92,NA
"150","ON-QC","Ottawa-Gatineau","South March Conservation Forest","OG5","11.06.2024",80,45.3418006896973,-75.9438018798828,NA,NA,NA,NA,1,45,0,NA
"151","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",8,45.3628005981445,-75.8793029785156,NA,NA,NA,NA,0,20,0,NA
"152","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",16,45.364200592041,-75.8795013427734,NA,NA,1,NA,0,20,77.12,NA
"153","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",24,45.3655014038086,-75.8804016113281,NA,NA,NA,NA,0,20,79.2,NA
"154","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",32,45.3646011352539,-75.8805999755859,NA,NA,NA,NA,0,40,0,NA
"155","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",40,45.3641014099121,-75.8815994262695,NA,NA,NA,NA,2,30,100,NA
"156","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",48,45.3628005981445,-75.8793029785156,NA,NA,1,NA,0.5,40,100,NA
"157","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",56,45.3641014099121,-75.8795013427734,NA,NA,1,1,0,50,90.64,"1 Haem. N"
"158","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",64,45.3656997680664,-75.880500793457,NA,NA,NA,NA,0,100,68.8,NA
"159","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",72,45.3646011352539,-75.8805999755859,NA,NA,NA,2,2,20,100,NA
"160","ON-QC","Ottawa-Gatineau","Shirley’s Bay","OG6","11.06.2024",80,45.3641014099121,-75.8815002441406,NA,NA,NA,NA,0,20,90.64,NA
"161","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","12.06.2024",8,45.3903007507324,-75.5501022338867,NA,NA,NA,NA,0,60,41.8,NA
"162","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",16,45.3891983032227,-75.5485000610352,NA,1,NA,NA,2,60,87.5,NA
"163","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",24,45.388599395752,-75.5464019775391,1,NA,NA,NA,0,20,100,"1 Haem. N"
"164","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",32,45.388500213623,-75.5438995361328,NA,NA,NA,NA,0,30,62.5,NA
"165","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",40,45.3883018493652,-75.5414962768555,NA,1,NA,NA,2,20,0,"1 Haem. N"
"166","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",48,45.3903007507324,-75.5502014160156,NA,NA,NA,NA,2,35,16.8,NA
"167","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",56,45.3891983032227,-75.5485000610352,NA,NA,NA,NA,1,25,87.5,NA
"168","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",64,45.388599395752,-75.5464019775391,NA,NA,NA,NA,1,10,83.4,NA
"169","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",72,45.388500213623,-75.5439987182617,NA,NA,NA,NA,0,15,21,NA
"170","ON-QC","Ottawa-Gatineau","Mer Bleue Bog","OG8","20.06.2024",80,45.3883018493652,-75.5413970947266,NA,NA,NA,NA,0,10,62.5,NA
"171","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",8,45.4632987976074,-75.6277008056641,NA,NA,NA,NA,2,40,100,NA
"172","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",16,45.4634017944336,-75.6302032470703,NA,NA,NA,NA,0,90,58.4,NA
"173","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",24,45.4625015258789,-75.6316986083984,NA,NA,NA,NA,1.5,80,100,NA
"174","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",32,45.4622001647949,-75.6294021606445,NA,NA,NA,NA,3,100,100,NA
"175","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",40,45.4626007080078,-75.6274032592773,NA,NA,NA,NA,0,50,100,NA
"176","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",48,45.4632987976074,-75.6277008056641,NA,NA,NA,NA,1.5,30,100,NA
"177","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",56,45.4634017944336,-75.6302032470703,NA,NA,NA,NA,0,90,0,NA
"178","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",64,45.4625015258789,-75.6316986083984,NA,NA,NA,NA,3,70,100,NA
"179","ON-QC","Ottawa-Gatineau","Beacon Hill","OG9","12.06.2024",72,45.462100982666,-75.6294021606445,NA,NA,NA,NA,3,80,100,NA
