"","GroupID","Site_ID","Date","Male","Females","Nymphs","Litter_depth","Canopy_cover","Soil_humidity","Waypoints"
"44",2,"OG4 (Jay)",2019-06-26,0,0,0,4,76,30,534
"45",3,"OG4 (Andreea)",2019-06-26,0,0,0,2.5,67.7,60,568
"46",3,"OG4 (Jay)",2019-06-26,1,0,0,0.5,58.4,30,542
"47",4,"OG4 (Andreea)",2019-06-26,0,0,0,2,84.4,20,576
"48",4,"OG4 (Jay)",2019-06-26,0,0,0,2,10.5,20,550
"49",5,"OG4 (Andreea)",2019-06-26,0,0,0,2,68.8,80,584
"50",5,"OG4 (Jay)",2019-06-26,0,0,0,2,28.2,40,558
"51",1,"OG5 (Benoit)",2019-06-04,2,2,2,5,100,20,294
"52",1,"OG5 (Roman)",2019-06-04,2,0,1,4,100,30,284
"53",2,"OG5 (Benoit)",2019-06-04,0,0,0,2,100,20,302
"54",2,"OG5 (Roman)",2019-06-04,2,0,0,4,100,25,292
"55",3,"OG5 (Benoit)",2019-06-04,0,0,0,3,100,15,310
"56",3,"OG5 (Roman)",2019-06-04,0,1,0,4,100,55,300
"57",4,"OG5 (Benoit)",2019-06-04,3,1,2,1,97.9,15,318
"58",4,"OG5 (Roman)",2019-06-04,8,4,3,4,57.3,30,308
"59",5,"OG5 (Benoit)",2019-06-04,4,7,0,3,95.8,20,326
"60",5,"OG5 (Roman)",2019-06-04,1,1,0,NA,NA,NA,316
"61",6,"OG5 (Roman)",2019-06-04,0,0,0,4,100,25,317
"62",1,"OG6 (Benoit)",2019-06-06,0,1,0,1,0,20,376
"63",1,"OG6 (Roman)",2019-06-06,0,1,0,2,0,20,366
"64",2,"OG6 (Benoit)",2019-06-06,2,5,0,1,8,20,384
"65",2,"OG6 (Roman)",2019-06-06,4,2,0,2,0,20,374
"66",3,"OG6 (Benoit)",2019-06-06,1,3,1,NA,NA,NA,392
"67",3,"OG6 (Roman)",2019-06-06,1,1,0,1,0,20,382
"68",4,"OG6 (Benoit)",2019-06-06,1,0,0,0,0,50,400
"69",4,"OG6 (Roman)",2019-06-06,3,6,0,2,0,20,390
"70",5,"OG6 (Benoit)",2019-06-06,0,0,0,3,7.8,55,408
"71",5,"OG6 (Roman)",2019-06-06,2,1,1,NA,NA,NA,398
"72",6,"OG6 (Roman)",2019-06-06,0,0,0,3,0,50,399
"73",1,"OG7 (Benoit)",2019-06-13,0,0,0,3,52.6,10,555
"74",1,"OG7 (Roman)",2019-06-13,0,0,0,3,74.2,10,531
"75",2,"OG7 (Benoit)",2019-06-13,2,0,0,5,100,15,563
"76",2,"OG7 (Roman)",2019-06-13,0,2,0,5,100,30,539
"77",3,"OG7 (Benoit)",2019-06-13,0,0,0,4,100,25,571
"78",3,"OG7 (Roman)",2019-06-13,0,1,0,5,100,20,547
"79",4,"OG7 (Benoit)",2019-06-13,0,0,0,5,100,10,579
"80",4,"OG7 (Roman)",2019-06-13,0,0,0,5,100,10,555
"81",5,"OG7 (Benoit)",2019-06-13,0,0,0,10,100,20,587
"82",5,"OG7 (Roman)",2019-06-13,1,0,0,6,100,10,563
"83",1,"OG8 (Benoit)",2019-06-07,0,0,0,1,98.6,40,466
"84",1,"OG8 (Roman)",2019-06-07,2,0,0,1,98.9,60,449
"85",2,"OG8 (Benoit)",2019-06-07,0,0,0,1,97.2,20,474
"86",2,"OG8 (Roman)",2019-06-07,0,0,0,3,98.4,50,457
"87",3,"OG8 (Benoit)",2019-06-07,0,0,0,0,0,10,482
"88",3,"OG8 (Roman)",2019-06-07,1,0,0,0,0,10,465
"89",4,"OG8 (Benoit)",2019-06-07,0,0,0,0,85.1,25,490
"90",4,"OG8 (Roman)",2019-06-07,0,0,0,0,91.9,10,473
"91",5,"OG8 (Benoit)",2019-06-07,0,0,0,1,89.3,10,498
"92",5,"OG8 (Roman)",2019-06-07,0,0,0,3,100,10,481
"93",1,"OG9 (Benoit)",2019-06-07,0,0,0,2,83.6,30,425
"94",1,"OG9 (Roman)",2019-06-07,0,0,0,7,97,55,408
"95",2,"OG9 (Benoit)",2019-06-07,0,0,0,1,96.1,60,433
"96",2,"OG9 (Roman)",2019-06-07,0,0,0,6,100,40,416
"97",3,"OG9 (Benoit)",2019-06-07,0,0,1,1,95.3,20,441
"98",3,"OG9 (Roman)",2019-06-07,0,0,0,4,100,40,424
"99",4,"OG9 (Benoit)",2019-06-07,0,0,0,1,100,80,449
"100",4,"OG9 (Roman)",2019-06-07,1,0,0,5,100,45,432
"101",5,"OG9 (Benoit)",2019-06-07,0,0,0,0,35.7,40,457
"102",5,"OG9 (Roman)",2019-06-07,0,0,0,5,100,40,440
