"","province","region","site_name","site_id","year","date","waypoint_number","latitude","longitude","larva","nymphs","male","females","litter_depth","soil_humidity","canopy_cover"
"61","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",80,NA,NA,0,0,0,0,"1","20","93.76"
"62","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",8,NA,NA,0,0,0,0,"1","90","70.36"
"63","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",16,NA,NA,0,0,0,0,"1","100","98.18"
"64","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",24,NA,NA,0,0,0,0,"1","100","100"
"65","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",32,NA,NA,0,0,0,0,"1","90","100"
"66","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",40,NA,NA,0,0,0,0,"2","70","100"
"67","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",48,NA,NA,0,0,0,0,"1","70","100"
"68","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",56,NA,NA,0,0,0,0,"2","50","100"
"69","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",64,NA,NA,0,0,0,0,"1","70","100"
"70","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",72,NA,NA,0,0,0,0,"1","18","100"
"71","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2019,"2019-08-02",80,NA,NA,0,0,0,0,"1","20","91.16"
"72","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",8,NA,NA,0,0,0,0,"3","20","98.44"
"73","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",16,NA,NA,0,0,0,0,"3","20","96.1"
"74","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",24,NA,NA,0,0,0,0,"2","10","69.58"
"75","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",32,NA,NA,0,0,0,0,"1","50","92.98"
"76","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",40,NA,NA,0,0,0,0,"5","80","0"
"77","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",48,NA,NA,0,0,0,0,"4","20","100"
"78","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",56,NA,NA,0,0,0,0,"4","30","94.54"
"79","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",64,NA,NA,0,0,0,0,"1","30","0"
"80","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",72,NA,NA,0,0,0,0,"1","18","100"
"81","ON","Hamilton","Belwood Lake Conservation Area","HM1",2019,"2019-07-23",80,NA,NA,0,0,0,0,"1","50","46.96"
"82","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",8,NA,NA,0,0,0,0,"4","50","93.5"
"83","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",16,NA,NA,0,0,0,0,"2","70","88.56"
"84","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",24,NA,NA,0,0,0,0,"1","90","98.96"
"85","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",32,NA,NA,0,0,0,0,"2","80","97.92"
"86","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",40,NA,NA,0,0,0,0,"3","40","94.54"
"87","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",48,NA,NA,0,0,0,0,"15","39","94.54"
"88","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",56,NA,NA,0,0,0,0,"2","68","98.44"
"89","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",64,NA,NA,0,0,0,0,"34","47","98.44"
"90","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",72,NA,NA,0,0,0,0,"22","15","98.18"
"91","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2019,"2019-07-24",80,NA,NA,0,0,0,0,"32","92","100"
"92","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",8,NA,NA,0,0,0,0,"3","60","89.86"
"93","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",16,NA,NA,0,0,0,0,"6","70","98.96"
"94","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",24,NA,NA,0,0,0,0,"1","70","94.02"
"95","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",32,NA,NA,0,0,0,0,"3","30","100"
"96","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",40,NA,NA,0,0,0,0,"3","40","90.9"
"97","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",48,NA,NA,0,0,0,0,"1","70","100"
"98","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",56,NA,NA,0,0,0,0,"2","80","100"
"99","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",64,NA,NA,0,0,0,0,"1","70","90.12"
"100","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",72,NA,NA,0,0,0,0,"8","50","77.64"
"101","ON","Hamilton","Smith Loop Trail","HM9",2019,"2019-07-23",80,NA,NA,0,0,0,0,"2","20","82.58"
"102","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",5,43.73391,-80.34221,0,0,0,0,"2.5","3","95"
"103","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",11,43.73369,-80.34491,0,1,0,0,"2","7.5","90"
"104","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",16,43.73514,-80.34377,0,0,0,0,"6","2","90"
"105","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",21,43.73569,-80.34263,0,0,0,0,"2.5","5","90"
"106","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",27,43.73455,-80.34118,0,0,0,0,"2","7","85"
"107","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",32,43.73391,-80.34221,0,0,0,0,"1","2.5","90"
"108","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",38,43.73369,-80.34491,0,0,0,0,"2","7","90"
"109","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",43,43.73514,-80.34377,0,0,0,0,"2","7","90"
"110","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",48,43.73569,-80.34263,0,0,0,0,"2","2.5","95"
"111","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",54,43.73455,-80.34118,0,0,0,0,"1","9","90"
"112","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",59,43.73391,-80.34221,0,0,0,0,"1.5","1.5","90"
"113","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",65,43.73369,-80.34491,0,0,0,0,"2.5","6.5","85"
"114","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",70,43.73514,-80.34377,0,0,0,0,"3.5","2.5","90"
"115","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",75,43.73569,-80.34263,0,0,0,0,"1.5","3","90"
"116","ON","Hamilton","Belwood Lake Conservation Area","HM1",2021,"2021-07-21",80,43.73455,-80.34118,0,0,0,0,"1","6","75"
"117","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",8,43.358349,-80.155634,0,0,0,0,"0","7","75"
"118","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",16,43.3892,-80.19744,0,0,1,0,"1","7.5","75"
"119","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",24,43.389212,-80.15889,0,0,0,0,"1","5.5","95"
"120","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",32,43.390542,-80.152997,0,0,0,0,"0.5","9","95"
"121","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",40,43.392107,-80.154372,0,0,0,0,"1","2.5","95"
"122","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",48,43.389,-80.19744,0,0,0,0,"1","4.5","75"
"123","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",56,43.38924,-80.19811,0,0,0,0,"1","7","75"
"124","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",64,43.38921,-80.15188,0,0,0,0,"3","1","85"
"125","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",72,43.37645,-80.15594,0,0,0,1,"2.5","7","90"
"126","ON","Hamilton","Valens Lake Conservation Area","HM10",2021,"2021-07-22",80,43.39018,-80.15245,0,0,0,0,"3","4.5","95"
"127","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",8,43.282263,-80.028173,0,0,0,0,"1","8","95"
"128","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",16,43.282758,-80.029247,0,0,0,0,"0.5","6","95"
"129","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",24,43.252578,-80.029747,0,0,0,0,"0.5","1","95"
"130","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",32,43.279458,-80.032172,0,0,0,0,"2","7","90"
"131","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",40,43.280967,-80.028029,0,0,0,0,"2","7.5","95"
"132","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",48,43.28398,-80.0348,0,0,0,0,"2","6.5","95"
"133","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",56,43.29081,-80.03759,0,0,1,0,"1","5.5","75"
"134","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",64,43.251134,-80.03132,0,0,0,0,"3","4","90"
"135","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",72,43.278996,-80.031984,0,0,0,0,"3","8.5","85"
"136","ON","Hamilton","Christie Lake Conservation Area","HM2",2021,"2021-07-22",80,43.28049,-80.02185,0,0,0,0,"1","9","85"
"137","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",8,43.36544,-80.15018,0,0,0,0,"2","7","80"
"138","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",16,43.36654,-80.15031,0,0,0,0,"1.5","5","95"
"139","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",24,43.36584,-80.1484,0,0,0,0,"3","4.5","90"
"140","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",32,43.36683,-80.15096,0,0,0,0,"4","2.5","90"
"141","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",40,43.3646,-80.1512,0,0,0,0,"3.5","4","95"
"142","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",48,43.36544,-80.15018,0,0,0,0,"0","8","100"
"143","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",56,43.36654,-80.15031,0,0,0,0,"1","6","90"
"144","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",64,43.36584,-80.1484,0,0,0,0,"2","5","100"
"145","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",72,43.36683,-80.15096,0,0,0,0,"4","3","95"
"146","ON","Hamilton","Guelph Lake Conservation Area","HM3",2021,"2021-07-21",80,43.5646,-80.1512,0,0,0,0,"1","2","95"
"147","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",8,43.49811,-79.96805,0,0,0,0,"4","0.5","95"
"148","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",16,43.47276,-79.94078,0,0,0,0,"3.5","8","100"
"149","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",24,43.46783,-79.95581,0,0,0,0,"2.5","5","95"
"150","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",32,43.49703,-79.965957,0,0,0,0,"3","6","100"
"151","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",40,43.49998,-79.9656,0,0,0,0,"4","6","85"
"152","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",48,43.50544,-79.9662,0,0,0,0,"4.5","5.5","95"
"153","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",56,43.50568,-79.96786,0,0,0,0,"4","6.5","95"
"154","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",64,43.50721,-79.96983,0,0,0,0,"5","5","95"
"155","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",72,43.50753,-79.96729,0,0,0,0,"6","7","100"
"156","ON","Hamilton","Hilton Falls Conservation Area","HM4",2021,"2021-07-23",80,43.50774,-79.96475,0,0,0,0,"2.5","6","90"
"157","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",8,43.248762,-79.99183,0,0,0,0,"0","1","75"
"158","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",16,43.248859,-79.9918,0,0,0,0,"1","3","95"
"159","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",24,43.246861,-79.992923,0,0,0,0,"0.5","6.5","95"
"160","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",32,43.248144,-79.990322,0,0,0,0,"2.5","9","100"
"161","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",40,43.2493,-79.987699,0,0,0,0,"2.5","3","100"
"162","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",48,43.248762,-79.991836,0,0,0,0,"0","6","95"
"163","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",56,43.24965,-79.99147,0,0,0,0,"5.5","6","100"
"164","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",64,43.2484,-79.99427,0,0,0,0,"2.5","4.5","90"
"165","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",72,43.248144,-79.990322,0,0,0,0,"2","6.5","90"
"166","ON","Hamilton","Dundas Valley Conservation Area","HM5",2021,"2021-07-30",80,43.24947,-79.98773,0,0,0,0,"3","7","95"
"167","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",5,43.102,-80.2311,0,0,0,0,"2","4","95"
"168","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",11,43.265874,-80.38683,0,0,0,0,"1","4","95"
"169","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",16,43.265342,-80.385389,0,0,0,0,"2","4.5","95"
"170","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",22,43.263678,-80.384052,0,0,0,0,"0.5","3","95"
"171","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",27,43.263789,-80.384025,0,0,0,0,"1","7","100"
"172","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",32,43.102,-80.2311,0,0,0,0,"2","5","95"
"173","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",38,43.265874,-80.38683,0,0,0,0,"1","4","95"
"174","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",43,43.263678,-80.384052,0,0,0,0,"1.5","2","95"
"175","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",49,43.263678,-80.384052,0,0,0,0,"1","2","95"
"176","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",54,43.263789,-80.384025,0,0,0,0,"0.5","3","95"
"177","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",59,43.102,-80.2311,0,0,0,0,"2","5","95"
"178","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",65,43.265874,-80.38683,0,0,0,0,"1","6","100"
"179","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",70,43.263678,-80.384052,0,0,0,0,"3","8","100"
"180","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",75,43.263678,-80.384052,0,0,0,0,"2","3","100"
"181","ON","Hamilton","Pinehurst Lake Conservation Area","HM6",2021,"2021-08-19",80,43.263699,-80.384035,0,0,0,0,"1","8","100"
"182","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",5,43.30737,-80.13463,0,0,0,0,"3.5","4.5","90"
"183","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",11,43.30867,-80.13482,0,0,0,0,"1","9","95"
"184","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",16,43.3087,-80.13483,0,0,0,0,"1","8.5","95"
"185","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",21,43.30798,-80.13465,0,0,0,0,"2","9","90"
"186","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",27,43.30741,-80.13481,0,0,0,0,"1.5","8.5","85"
"187","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",32,43.30787,-80.13463,0,0,0,0,"1","6","85"
"188","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",38,43.30867,-80.13482,0,0,0,0,"1.5","7.5","95"
"189","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",43,43.3087,-80.13483,0,0,0,0,"1","6","90"
"190","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",48,43.30748,-80.13465,0,0,0,0,"0.5","1","85"
"191","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",54,43.30741,-80.13481,0,0,0,0,"0.5","5.5","90"
"192","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",59,43.30782,-80.13463,0,0,0,0,"2","7","90"
"193","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",65,43.30867,-80.13482,0,0,0,0,"0.5","1","100"
"194","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",70,43.3087,-80.13483,0,0,0,0,"0","1","90"
"195","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",75,43.30798,-80.13465,0,0,0,0,"1","1","100"
"196","ON","Hamilton","Preservaton Park","HM7",2021,"2021-07-16",80,43.30741,-80.13481,0,0,0,0,"3","8","100"
"197","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",8,43.518282,-79.605955,0,0,0,1,"2","5.5","95"
"198","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",16,43.519951,-79.607339,0,0,0,0,"1","3.5","95"
"199","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",24,43.520332,-79.60857,0,0,0,0,"1","4","95"
"200","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",32,43.518528,-79.605311,0,0,0,0,"2","3","95"
"201","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",40,43.519357,-79.60409,0,0,0,0,"1.5","5.5","95"
"202","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",48,43.5165,-79.6233,0,0,0,0,"6.5","5.5","90"
"203","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",56,43.511,-79.6184,0,0,0,0,"3","7","85"
"204","ON","Hamilton","Rattray Marsh Conservation Area","HM8",2021,"2021-07-15",64,43.5201,-79.6098,0,0,0,0,"3.5","3","95"
